2.0 9.113665436317e-01
4.0 6.951934028904e-01
6.0 5.518007695793e-01
8.0 4.557469824322e-01
10.0 3.876851734512e-01
12.0 3.371253568440e-01
14.0 2.981487489845e-01
16.0 2.672090896960e-01
18.0 2.420643437367e-01
20.0 2.212315926676e-01
22.0 2.036923416081e-01
24.0 1.887245535965e-01
26.0 1.758024018549e-01
28.0 1.645340099293e-01
30.0 1.546214308507e-01
32.0 1.458341395008e-01
34.0 1.379910077842e-01
36.0 1.309477618837e-01
38.0 1.245880716522e-01
40.0 1.188171038593e-01
42.0 1.135567797330e-01
44.0 1.087422340282e-01
46.0 1.043191349143e-01
48.0 1.002416306621e-01
50.0 9.647075804719e-02
52.0 9.297319620017e-02
54.0 8.972028138208e-02
56.0 8.668722119070e-02
58.0 8.385246249160e-02
60.0 8.119717936694e-02
62.0 7.870485507776e-02
64.0 7.636093867013e-02
66.0 7.415256103888e-02
68.0 7.206829883159e-02
70.0 7.009797702430e-02
72.0 6.823250295995e-02
74.0 6.646372620701e-02
76.0 6.478431959665e-02
78.0 6.318767788138e-02
80.0 6.166783094617e-02
82.0 6.021936930884e-02
84.0 5.883737980998e-02
86.0 5.751738997177e-02
88.0 5.625531970992e-02
90.0 5.504743919697e-02
92.0 5.389033208670e-02
94.0 5.278086326872e-02
96.0 5.171615049741e-02
98.0 5.069353942442e-02
100.0 4.971058149540e-02
2.0 9.11366544e-01
4.0 6.95193403e-01
6.0 5.51800770e-01
8.0 4.55746982e-01
10.0 3.87685173e-01
12.0 3.37125357e-01
14.0 2.98148749e-01
16.0 2.67209090e-01
18.0 2.42064344e-01
20.0 2.21231593e-01
22.0 2.03692342e-01
24.0 1.88724554e-01
26.0 1.75802402e-01
28.0 1.64534010e-01
30.0 1.54621431e-01
32.0 1.45834140e-01
34.0 1.37991008e-01
36.0 1.30947762e-01
38.0 1.24588072e-01
40.0 1.18817104e-01
42.0 1.13556780e-01
44.0 1.08742234e-01
46.0 1.04319135e-01
48.0 1.00241631e-01
50.0 9.64707580e-02
52.0 9.29731962e-02
54.0 8.97202814e-02
56.0 8.66872212e-02
58.0 8.38524625e-02
60.0 8.11971794e-02
62.0 7.87048551e-02
64.0 7.63609387e-02
66.0 7.41525610e-02
68.0 7.20682988e-02
70.0 7.00979770e-02
72.0 6.82325030e-02
74.0 6.64637262e-02
76.0 6.47843196e-02
78.0 6.31876779e-02
80.0 6.16678309e-02
82.0 6.02193693e-02
84.0 5.88373798e-02
86.0 5.75173900e-02
88.0 5.62553197e-02
90.0 5.50474392e-02
92.0 5.38903321e-02
94.0 5.27808633e-02
96.0 5.17161505e-02
98.0 5.06935394e-02
100.0 4.97105815e-02
